trial,pilot_s,C_band,C_growth,C_theta1_x4,C_theta1_x6,F_field_slack,F_slack,F_trust,K_field,P_k
0,50983.1,0.8,1.5,10.0,10.0,1.1,1.4,1.3,2,1.0
1,53782.8,0.6800666096583502,1.4677585911059887,15.846843042529565,9.533925417213654,1.1406780517020227,1.549308017626412,1.4693626615889048,12,1.0008435941052902
2,51925.0,0.8007362045604629,1.9465999119031416,9.754568941953657,18.74965455288568,1.1755197093015664,1.3484928551128184,1.0307274243152729,7,1.631024362688859
3,51310.6,0.7125360308474905,1.743734326722103,17.53615243532272,18.05324650206243,1.2437641937582267,1.2174302180960481,1.503417178973176,14,0.9728598796731454
4,50911.8,0.5630336603009095,1.9010216459745046,18.780248799355384,5.798401240025499,1.254474978826027,1.2786641524965943,1.909269993185483,14,0.5848082936331715
5,52745.4,0.8345329641907386,1.4709501473815516,16.047440772206933,12.249577927862843,1.0293872580433778,1.44424563413289,1.494524021177043,7,0.31739448389577946
6,54299.9,0.6197850375306236,1.0511458767474167,16.390460172092137,6.379064724581768,1.1597841435674558,1.5674952798531612,1.8350043469224793,14,0.3890175743952906
7,51484.1,0.9246778402086306,1.5393509179635647,16.056052149079317,6.578195684296519,1.2517458734598874,1.2422962047294412,1.2499559335775365,12,2.4556457379238004
8,52025.1,0.5756566430403942,1.8297226332893486,21.3247123998575,24.421820537431657,1.1409207309758342,1.5089602431360238,1.4598224859804196,16,0.5955387267303016
9,53382.9,0.6338020344021622,1.2172416932721837,23.815589588164823,21.71794615620427,1.0836437125078695,1.5223951597801224,1.4954456219735772,8,1.9706636101338013
10,51397.3,0.5199316120804404,1.2561744357677567,5.522645620995055,15.032962375299043,1.298168694326141,1.300438590644139,1.869305052334734,3,3.498352708630399
11,50043.4,0.7679084217131922,1.6483609773877987,10.272941697002178,10.037509284661265,1.024514244234984,1.3937685871186023,1.9877106645412477,2,0.6746397175791243
12,50641.8,0.5169216461870819,1.6872615546381187,11.92589209930035,5.180289452976341,1.0211883548639322,1.3037037125220596,1.926246405054858,4,0.577704933462969
13,50802.0,0.9413744667592734,1.6668407806859797,11.16240358419637,9.708596650244793,1.0265847306044769,1.3658064363941067,1.9980969343365367,4,0.5376490566842835
14,51824.7,0.7309118792846947,1.6629674360892792,12.210525612233857,12.383035891990076,1.0651553091331403,1.440915957493506,1.7123361010180373,5,0.8180224271792484
15,50646.6,0.8640143559678268,1.6276611252709468,5.822134062133884,8.528591627894048,1.0524379655227512,1.3196411718354009,1.7143112427482945,5,0.25479932675679307
16,51507.4,0.5176433247135707,1.354844315970266,13.655692691512215,12.831067917974163,1.0997819260082502,1.4155869341551564,1.7289345652228802,2,0.4274689034664241
17,50645.3,0.7242751501215687,1.7903890456672276,8.071759225167742,5.205976768891756,1.0236930145814442,1.2643384509396633,1.9898786692607462,5,1.3356956570972065
18,51866.6,0.6395632443284238,1.9871725428314853,13.465920404825042,8.025273037534475,1.0670944900307968,1.4740911157414076,1.7892342583108543,9,0.6504390767217231
19,50801.4,0.7763018818673149,1.5979890658243001,7.958185235317631,14.953419333813907,1.0492711144098368,1.3673822073881488,1.598466603179218,4,0.43383252792771015
20,49759.2,0.888239356540339,1.3587163205111037,7.969285395685458,11.015301742555067,1.09795752006543,1.2000747308023731,1.9195587806612466,2,0.7743187892681377
21,50319.2,0.8799107942527205,1.307592017324239,7.73157085302003,11.306677148676663,1.1101153940223922,1.240187583162862,1.9196396729150296,2,0.7000208922541263
22,49881.7,0.8876849951190668,1.3532100805274725,7.725641342799542,11.235342005327263,1.1169459539186182,1.2083518977569574,1.9146241995776396,2,0.7598711812019723
23,50440.9,0.9184880380370356,1.3836458559033242,7.140146779533353,14.270959214121916,1.126669048147836,1.203308419511846,1.7957022052624074,3,1.2768677744115207
24,49998.5,0.8823849216858766,1.1363108575429859,9.397251909621637,16.812411431515482,1.1898129558469521,1.2376801145905707,1.9991788707875575,2,0.8120348488661548
25,52366.2,0.8904367842068543,1.103547920725932,9.044156804174396,17.097816124056315,1.1799531336530242,1.2273828246075997,1.6467503513413502,6,0.834072684662456
26,50443.0,0.8461252200674381,1.1714624688781465,6.651919142399503,20.583035965800544,1.2224122123877066,1.2038000371370432,1.8363206215504708,3,1.1303954377805057
27,50002.6,0.9015253985601617,1.0253097816298034,13.550846056509723,16.326645027391937,1.205060890873648,1.2770335801920158,1.9121111534026507,3,1.605611119917737
28,50802.3,0.9482751072844301,1.405634535307045,5.320741062648951,13.679324540018447,1.193896301200474,1.25416078979867,1.75427897392065,4,0.799786214588048
29,49839.8,0.82498889819244,1.1347328533253689,9.064370227910933,10.910857264781844,1.11368520465634,1.2024635955070346,1.6477652532705838,2,0.49026182099464405
30,52089.9,0.8166794267871365,1.2899239802592897,10.85601102019732,10.966831140848994,1.1086156757266734,1.2057695263069919,1.3210633060095414,6,0.481662500616132
31,49602.3,0.8610499173866858,1.1598124850151876,9.058442134099899,7.777184395347827,1.126953546000216,1.2342794389339886,1.627942236456287,2,0.9371311099782628
32,49682.3,0.8491695138583728,1.203932197271351,8.529365038473351,8.06086112698225,1.1528971283071185,1.2646689667665787,1.6296772834678723,2,1.0507523671663404
33,50443.3,0.8459072974824096,1.2069808699428433,8.60871186819268,7.8738554877096085,1.1494181347542496,1.3224957266577868,1.596648376601936,3,0.9959108308826364
34,49485.1,0.7870437710605307,1.108426993754688,9.454096816944388,8.309024674032091,1.0865848362996633,1.2799303068282977,1.4001561157561304,2,1.157532047906511
35,50803.0,0.7889681292317758,1.0770853348267786,6.721153347736619,7.317260213158969,1.0926363247350246,1.2868862026315668,1.3318965202106507,4,1.1826431301184965
36,50442.1,0.763943335286468,1.0110025884423264,11.974186772247007,8.937090389704558,1.165129962735225,1.2622825631209118,1.3936773595832757,3,1.43047204771657
37,52089.8,0.7982322068927127,1.2459451113272386,10.513415324336176,6.718689741799752,1.1311780315346813,1.3269450999524623,1.1640199117689651,6,0.9825295915528338
38,49844.1,0.8593457805922148,1.4432684370033748,9.738520441885694,9.417204505456368,1.0795514181369241,1.228156251340785,1.0293488738576693,2,1.9629514841900289
39,50646.7,0.6945419874216676,1.1812751737820717,6.534770691212085,7.392786021550958,1.1587412399126835,1.3442511913342654,1.5584962319343016,5,1.128054756687526
40,50442.1,0.8142546216356265,1.5216442408511497,12.818905961459514,8.822264074011118,1.1352233664094964,1.285851495683629,1.4132388135116651,3,1.5736050600552671
