# VERDICT (three points, not a curve): under the per-kind counters (0018, first real run 2026-09-17) the daily galaxy_1day dump still writes ~255-285k bodies, ~57k hotspots, ~8k star classes, ~5k systems and ~6-7k station identities a night, all drifting down 10-20% over three days. Market boards are the settled case: 7 / 2 / 5 boards applied against 271,039 / 265,553 / 264,718 skipped because the feed already held a fresher board — the dump teaches us effectively no markets. Pre-registered on 2026-09-09: stars and hotspots from the dump fall by an order of magnitude; not yet seen. CAVEAT before reading bodies/hotspots as a residual: the bodies upsert gate is `bodies.observed_at <= EXCLUDED.observed_at` (crates/ed-store/src/postgres.rs) and the dump's observed_at is Spansh's updateTime, which for a scanned body is the scan's own timestamp — so a body the feed already taught from that Scan is rewritten unchanged and counted again. Stars use strict `<`. Until the bodies gate is strict (or the counter counts changed rows), bodies_applied and hotspots_applied are an upper bound on what the dump teaches. Rows before 2026-09-17 are zero because the columns did not exist yet (0018 note).
# service_hydrations, box, read 2026-09-19 04:3xZ; columns as persisted
date,source,systems_applied,identities_applied,snapshots_applied,snapshots_skipped,stars_taught,bodies_applied,hotspots_applied
2026-09-17,spansh:galaxy:galaxy_1day.json.gz,5706,7024,7,271039,8411,285594,57462
2026-09-18,spansh:galaxy:galaxy_1day.json.gz,5270,6889,2,265553,8243,266393,57456
2026-09-19,spansh:galaxy:galaxy_1day.json.gz,4597,6377,5,264718,7851,255171,57021
