trial,pilot_s,B_meet_settle,B_offset,B_ratio,C_band,C_cap,C_growth,C_on,C_theta1,F_field_slack,F_pad,F_slack,F_trust,K_field,K_floor
0,44061.7,800,64,3,0.8,8,1.5,True,10.0,1.1,2.0,1.4,1.3,2,512
1,44318.4,236,84,8,,,,False,,1.0887526733072121,1.0122849354050514,1.3234492010629402,1.543642582132711,4,
2,44982.8,1023,168,5,0.7694358707467301,10,1.8521807282364988,True,12.67462250362696,1.0390229948469032,0.8349077023359128,1.5222389060554185,1.758315612610806,2,232
3,46828.2,1422,24,6,,,,False,,1.0889895216610364,1.6410314997888396,1.409310433862996,1.5936584180151483,7,
4,45444.7,2536,172,5,,,,False,,1.1527606187778514,2.7634284862989853,1.3568355816674957,1.0927568713119065,7,
5,44486.0,1223,40,5,0.545689222835594,24,1.9458622316747785,True,12.511321153188696,1.1166494923786914,2.3339767405166594,1.2601775244041418,1.568631829778127,13,179
6,46882.2,229,86,4,,,,False,,1.1404310241679327,3.8861149145779774,1.2216751193663415,1.4021523503794409,12,
7,45658.7,660,28,4,,,,False,,1.089986044459205,2.8905057279630544,1.5045435250051662,1.0253544617940484,2,
8,47397.0,257,213,8,0.6522402182650116,12,1.5347951677412035,True,14.868602727320967,1.2554401661525811,2.191393987253303,1.4615631914312393,1.877005292755039,10,1817
9,45446.0,252,153,1,0.878162213496135,9,1.3497965799559752,True,18.40250086626081,1.1922929948057008,0.12627819960145814,1.372291584611292,1.2856751650948302,7,1369
10,48728.5,487,54,1,0.9316040019651475,4,1.0226373491614122,True,5.4939650043013035,1.2830735763092105,3.975787094486802,1.5983309111427733,1.9422301003829803,15,611
11,44162.5,475,78,7,,,,False,,1.0326543598579785,1.128519292709938,1.3098105059582048,1.3151502107290625,5,
12,43666.8,480,83,2,0.7302584512862319,4,1.5577611234136253,True,23.44074352601337,1.0262211858429244,1.4890743380507505,1.2914262651048933,1.245409475173673,5,73
13,45224.6,689,16,2,0.7510650090503239,4,1.53381999151862,True,24.069733298892164,1.0314080042689882,1.7596860370760459,1.4304473045190746,1.195117094850302,4,64
14,43964.7,413,112,3,0.781869850801033,6,1.5516303684995627,True,5.180007561238309,1.0586899986422715,1.5849580402818704,1.2737612835965375,1.419166236939963,5,65
15,44528.3,374,116,2,0.6778006054543045,6,1.7297782555075751,True,24.829388945526684,1.059412038438334,0.31695162906579966,1.2063488045741462,1.4200085894263466,10,64
16,45607.8,357,117,3,0.6791657124650202,6,1.2737846567698552,True,19.1414907537947,1.0657671958272303,1.235991026761068,1.2753947669464327,1.1749251531521532,6,130
17,44283.4,460,248,2,0.8345025221652348,5,1.6953873941934858,True,7.618275877534019,1.1932516066059637,0.5223284609154312,1.2741145678280432,1.458275276514331,9,119
18,44000.3,330,47,3,0.6003335188245715,4,1.3578582188483326,True,19.87399853477003,1.0228471306369058,1.550819145163811,1.3111546734903834,1.693815503695503,4,64
19,44167.9,1748,106,4,0.729287937943638,6,1.699051546641227,True,21.082724054112205,1.0602027697073981,2.757800294028731,1.248233412537815,1.2021563977108902,9,3780
20,44165.0,600,36,1,0.8541674717965766,13,1.450343191506991,True,17.144814184955678,1.1283001487951154,3.2674358222980793,1.338448971737227,1.3674763993071002,5,320
21,43920.8,344,51,3,0.5369199061124599,4,1.1939666603287702,True,21.72131978360288,1.0237621810422712,1.483580721208793,1.3013392750859742,1.7680870343837187,4,94
22,43720.5,329,66,3,0.5347257383142826,5,1.1031650711384928,True,23.4808120150501,1.057372252970502,1.493604178007012,1.2839997469691895,1.7235920700735785,3,107
23,43960.1,308,63,2,0.518480900159705,4,1.123149148266028,True,21.92369840589981,1.020585467301865,0.6830286698945265,1.3034571157001966,1.7986458312458302,3,113
24,43880.8,549,63,4,0.5772388944067636,5,1.1642550212579077,True,22.740094259614565,1.0502076432859364,1.4003672568609127,1.234819659391884,1.6659377221526617,3,110
25,43682.1,857,72,4,0.590605646224474,5,1.0213399297484669,True,23.209425285637032,1.069136540984617,2.0041293611058197,1.231575279258206,1.6541471670521906,3,193
26,45608.2,825,76,2,0.6135980848317015,5,1.0316027292859633,True,24.93676664895452,1.0824432191187925,1.9887684116080873,1.2023588364655426,1.9364655833451945,6,204
27,44321.1,965,93,6,0.6429588776040233,7,1.081115400878748,True,22.672485573125584,1.113266414086209,2.4291024203010094,1.2344174492449453,1.6591092041966153,3,343
28,45611.2,2423,36,4,0.5662425485748067,5,1.2651634030671797,True,23.32364807403063,1.1662983172719648,1.802899213818112,1.3519861332911798,1.4934978600028568,6,162
29,43442.4,841,70,3,0.7132228828733423,7,1.2236989025955405,True,21.068669435016798,1.0786606058481047,2.0462722310003505,1.3914054859863272,1.8320201502612894,2,269
30,45384.1,791,139,5,0.7226445146416761,7,1.2301481215046828,True,17.053803245547755,1.1069633882712693,2.002008935882237,1.407858023123821,1.9961813210048156,2,319
31,43564.6,1012,67,3,0.5108268099893185,5,1.0003095288560888,True,20.45606598278642,1.074691353717913,2.03378498241183,1.292728724839688,1.8107936154145459,2,243
32,43562.4,1577,71,2,0.7044467966440338,7,1.0386820853657033,True,20.96142893948339,1.0760575993743964,2.5788791033249043,1.3730755705738293,1.8441839537095375,2,628
